IdZone;IdCP;Code Postal;Commune;Actif
293;32933;13370;MALLEMORT;0
293;32930;13340;ROGNAC;1
293;32928;13330;LA BARBEN;1
293;32828;13520;MAUSSANE-LES-ALPILLES;0
293;32831;13540;AIX-EN-PROVENCE;1
293;32832;13550;NOVES;0
293;32834;13570;BARBENTANE;0
293;32835;13580;LA FARE-LES-OLIVIERS;1
293;32836;13590;MEYREUIL;1
293;32837;13600;CEYRESTE;0
293;32838;13600;LA CIOTAT;0
293;32839;13610;LE PUY-SAINTE-REPARADE;1
293;32840;13610;SAINT-ESTEVE-JANSON;1
293;32841;13620;CARRY-LE-ROUET;1
293;32848;13670;VERQUIERES;0
293;32849;13680;LANCON-PROVENCE;1
293;32850;13690;GRAVESON;0
293;32854;13720;BELCODENE;1
293;32857;13730;SAINT-VICTORET;1
293;32858;13740;LE ROVE;1
293;32859;13750;PLAN-D'ORGON;0
293;32860;13760;SAINT-CANNAT;1
293;32861;13770;VENELLES;1
293;32862;13780;CUGES-LES-PINS;0
293;32863;13780;RIBOUX;0
293;32865;13790;PEYNIER;1
293;32866;13790;ROUSSET;1
293;32867;13800;ISTRES;1
293;32868;13810;EYGALIERES;0
293;32872;13840;ROGNES;1
293;32873;13850;GREASQUE;1
293;32874;13860;PEYROLLES-EN-PROVENCE;1
293;32875;13870;ROGNONAS;0
293;32876;13880;VELAUX;1
293;32881;13920;SAINT-MITRE-LES-REMPARTS;1
293;32883;13940;MOLLEGES;0
293;32884;13950;CADOLIVE;1
293;32885;13960;SAUSSET-LES-PINS;1
293;32887;13980;ALLEINS;0
293;32888;13990;FONTVIEILLE;0
293;32907;13150;SAINT-PIERRE-DE-MEZOARGUES;0
293;32908;13150;TARASCON;0
293;32909;13160;CHATEAURENARD;0
293;32910;13170;LES PENNES-MIRABEAU;1
293;32912;13180;GIGNAC-LA-NERTHE;1
293;32913;13190;ALLAUCH;1
293;32914;13200;ARLES;0
293;32915;13210;SAINT-REMY-DE-PROVENCE;0
293;32916;13220;CHATEAUNEUF-LES-MARTIGUES;1
293;32917;13230;PORT-SAINT-LOUIS-DU-RHONE;0
293;32918;13240;SEPTEMES-LES-VALLONS;1
293;32921;13260;CASSIS;0
293;32922;13270;FOS-SUR-MER;1
293;32924;13290;AIX-EN-PROVENCE;1
293;32925;13300;SALON-DE-PROVENCE;1
293;32926;13310;SAINT-MARTIN-DE-CRAU;0
293;5970;83560;RIANS;0
293;5969;83560;LA VERDIERE;0
293;5968;83560;GINASSERVIS;0
293;5967;83560;ESPARRON;0
293;5955;83470;POURCIEUX;0
293;5911;83990;SAINT-TROPEZ;0
293;5910;83980;LE LAVANDOU;0
293;5909;83920;LA MOTTE;0
293;5908;83910;POURRIERES;1
293;5906;83890;BESSE-SUR-ISSOLE;0
293;5905;83870;SIGNES;0
293;5904;83860;NANS-LES-PINS;0
293;5903;83840;COMPS-SUR-ARTUBY;0
293;5902;83840;CHATEAUVIEUX;0
293;5901;83840;BRENON;0
293;5900;83840;BARGEME;0
293;5899;83840;TRIGANCE;0
293;5898;83840;LE BOURGUET;0
293;5897;83840;LA ROQUE-ESCLAPON;0
293;5896;83840;LA MARTRE;0
293;5895;83840;LA BASTIDE;0
293;926;83136;MEOUNES-LES-MONTRIEUX;0
293;925;83136;MAZAUGUES;0
293;924;83136;LA ROQUEBRUSSANNE;0
293;923;83136;GAREOULT;0
293;922;83136;FORCALQUEIRET;0
293;921;83131;MONTFERRAT;0
293;920;83130;LA GARDE;0
293;919;83120;SAINTE-MAXIME;0
293;918;83120;LE PLAN-DE-LA-TOUR;0
293;917;83119;BRUE-AURIAC;0
293;916;83111;AMPUS;0
293;915;83110;SANARY-SUR-MER;0
293;914;83100;TOULON;0
293;851;83440;CALLIAN;0
293;850;83430;SAINT-MANDRIER-SUR-MER;0
293;849;83420;LA CROIX-VALMER;0
293;848;83400;HYERES;0
293;847;83390;PUGET-VILLE;0
293;846;83390;PIERREFEU-DU-VAR;0
293;845;83390;CUERS;0
293;840;83340;LE THORONET;0
293;839;83340;LE LUC;0
293;838;83340;LE CANNET-DES-MAURES;0
293;837;83340;FLASSANS-SUR-ISSOLE;0
293;836;83340;CABASSE;0
293;835;83330;LE CASTELLET;0
293;834;83330;LE BEAUSSET;0
293;833;83330;EVENOS;0
293;832;83320;CARQUEIRANNE;0
293;831;83310;LA MOLE;0
293;830;83310;GRIMAUD;0
293;829;83310;COGOLIN;0
293;828;83300;DRAGUIGNAN;0
293;827;83300;CHATEAUDOUBLE;0
293;826;83270;SAINT-CYR-SUR-MER;0
293;825;83260;LA CRAU;0
